1272,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
1341,1,1.1816720257234727,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
1426,1,1.1816720257234727,1,1,1,1,1,2.0,2.0,2.0,2.0,2.0,2.0,1.1063829787234043,2
1921,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
2350,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
2394,1,1.1816720257234727,1,3,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
3248,1,1.1816720257234727,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
3557,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
4220,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
4385,1,1.1816720257234727,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
4427,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
5204,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
5428,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
5535,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
6216,1,1.1816720257234727,1,1,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,1.1063829787234043,3
6340,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
6402,1,1.1816720257234727,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
6481,1,1.1816720257234727,1,3,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
6572,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
7671,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
8071,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
8299,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
8512,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
8789,1,1.1816720257234727,1,1,1,3,1,1,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
9296,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
9420,1,1.1816720257234727,1,1,1,1,1,2,1.5,1.5,1.5,1.5,1.5,1.1063829787234043,1
10567,1,1.1816720257234727,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
10767,1,1.1816720257234727,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
11377,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
11392,1,1.1816720257234727,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.1063829787234043,1
12271,1,1.1816720257234727,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
12672,1,1.1816720257234727,1,3,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.1063829787234043,1
